"govtrust","humanid","globalid","ownestim","gender","age","income","edu","ses","scicons","trustsci","envid","extmotiv","intmotiv","politics","cri_2020","co_emissions","gini","hdi","CountryCode","pcpid","ccshare"
"62","88","84","75","1","23","3","3","3","86","97.5","98.25","48.8","93.4","41.5",104.83,0.6086,35.1,0.535,31,"2466",1
"50","100","100","70","1","22","8","3","5","70","100","100","71.4","100","100",104.83,0.6086,35.1,0.535,31,"2467",1
"10","59","51","41","2","23","4","3","5","50","26","51.75","26.4","49.6","22",104.83,0.6086,35.1,0.535,31,"2468",1
"40","72","72","59","2","24","2","3","7","70","60.5","59.25","59","62.8","74",104.83,0.6086,35.1,0.535,31,"2469",1
"67","100","100","39","1","56","6","4","7","100","95.5","100","9.8","97.6","100",104.83,0.6086,35.1,0.535,31,"2470",1
"35","98","82","64","2","27","2","3","6","41","62.5","95.5","41.2","64.8","52.5",104.83,0.6086,35.1,0.535,31,"2471",1
"22","83","77","53","1","61","5","3","4","56","48.5","71.25","16.6","70.8","72",104.83,0.6086,35.1,0.535,31,"2472",1
"38","95","94","67","2","33","4","3","7","63","93.5","92.25","49","92.2","63",104.83,0.6086,35.1,0.535,31,"2474",1
"47","63","72","71","2","30","4","3","5","58","76.5","61","27.2","57","43.5",104.83,0.6086,35.1,0.535,31,"2475",1
"89","90","98","80","1","38","7","4","8","88","97","92","38","65.2","76",104.83,0.6086,35.1,0.535,31,"2476",1
"74","93","89","82","1","33","4","3","6","70","84","91.5","35","61","67",104.83,0.6086,35.1,0.535,31,"2477",1
"50","100","100","35","1","41","8","4","8","74","97.5","100","0.2","100","76",104.83,0.6086,35.1,0.535,31,"2478",1
"50","90","90","62","1","28","4","3","6","70","77","91.25","32.8","78.4","86.5",104.83,0.6086,35.1,0.535,31,"2479",1
"39","81","100","70","1","34","3","4","6","85","75","87.5","41.2","94","82.5",104.83,0.6086,35.1,0.535,31,"2480",1
"","100","100","100","1","39","2","3","4","90","100","100","52.2","45.8","78",104.83,0.6086,35.1,0.535,31,"2481",1
"41","91","100","30","1","40","5","3","6","81","87","100","37.4","90.4","69",104.83,0.6086,35.1,0.535,31,"2482",1
"100","100","100","100","1","31","2","3","7","80","100","100","21.8","99.4","31",104.83,0.6086,35.1,0.535,31,"2483",1
"50","100","100","70","1","36","3","3","5","52","50","100","44","52.4","54.5",104.83,0.6086,35.1,0.535,31,"2484",1
"0","91","71","45","1","36","2","3","5","86","100","100","0","100","100",104.83,0.6086,35.1,0.535,31,"2485",1
"97","99","98","99","2","38","5","4","8","98","99","98.5","98.8","80.2","98",104.83,0.6086,35.1,0.535,31,"2486",1
"4","100","100","31","1","35","8","4","10","100","36","83.5","4","41.4","100",104.83,0.6086,35.1,0.535,31,"2487",0
"49","92","91","53","1","29","3","3","4","91","84","88.75","47.2","66.4","45",104.83,0.6086,35.1,0.535,31,"2488",1
"48","80","91","86","1","20","2","4","8","92","71","84.25","82.6","70.4","85",104.83,0.6086,35.1,0.535,31,"2489",1
"51","100","100","48","1","29","3","3","6","93","83","90.5","20","100","86.5",104.83,0.6086,35.1,0.535,31,"2490",1
"50","86","50","61","1","48","7","3","7","76","86","75.25","70.6","66.8","49",104.83,0.6086,35.1,0.535,31,"2491",0
"51","72","82","80","1","25","1","3","6","71","65.5","90","47.4","78.8","84",104.83,0.6086,35.1,0.535,31,"2492",1
"39","100","100","81","1","36","2","3","8","70","75.5","97","81.4","73.8","76",104.83,0.6086,35.1,0.535,31,"2493",1
"56","94","100","55","1","24","3","3","7","81","91.5","92.25","27","88.6","86",104.83,0.6086,35.1,0.535,31,"2494",1
"55","88","71","62","1","35","4","3","5","63","68","69.25","30.6","71.8","55",104.83,0.6086,35.1,0.535,31,"2496",1
"45","67","71","61","1","27","3","4","6","66","55.5","66.25","16.6","84.6","70.5",104.83,0.6086,35.1,0.535,31,"2497",0
"71","100","90","70","2","27","2","4","4","66","100","100","15.2","81.6","70",104.83,0.6086,35.1,0.535,31,"2498",1
"41","95","71","55","1","40","4","4","6","59","58","81.75","18.8","71.4","63.5",104.83,0.6086,35.1,0.535,31,"2499",1
"50","95","90","60","1","45","3","4","5","83","70","94.25","79.8","70.2","79",104.83,0.6086,35.1,0.535,31,"2500",1
"40","86","70","15","1","39","3","4","3","52","80.5","54","39","53","37.5",104.83,0.6086,35.1,0.535,31,"2501",1
"48","86","51","98","","20","","3","6","63","67.5","69","53.4","45.4","52",100,3.4302,33.5,0.77,32,"2502",0
"100","100","100","26","1","45","8","3","8","93","99","70.75","67.2","56","53",100,3.4302,33.5,0.77,32,"2504",0
"1","100","100","100","2","30","","2","5","94","","99.75","12","73.8","",100,3.4302,33.5,0.77,32,"2505",0
"0","61","100","40","1","24","3","3","5","40","45.5","55.5","70.6","51","41",100,3.4302,33.5,0.77,32,"2507",0
"5","70","","20","2","19","","2","5","","","77","2.25","84","",100,3.4302,33.5,0.77,32,"2508",0
"3","45","63","2","2","18","","2","8","100","100","86","19.2","97","",100,3.4302,33.5,0.77,32,"2510",1
"2","82","100","34","2","18","","2","9","94","12","100","10","70","8",100,3.4302,33.5,0.77,32,"2514",0
"2","39","49","11","2","50","","3","6","89","","62","29.4","78.6","50",100,3.4302,33.5,0.77,32,"2515",0
"2","52","31","11","2","19","4","2","3","69","62.5","68.5","9.8","67.8","",100,3.4302,33.5,0.77,32,"2516",0
"30","81","100","60","2","20","2","2","5","69","80","95.75","29","100","",100,3.4302,33.5,0.77,32,"2517",0
"21","61","63","100","2","62","6","2","5","100","82","83","70.4","55","100",100,3.4302,33.5,0.77,32,"2519",1
"3","82","82","63","2","57","","2","6","71","83","89.25","4","95","",100,3.4302,33.5,0.77,32,"2520",0
"","99","90","37","1","19","1","3","9","87","95","80","3.4","36.75","",100,3.4302,33.5,0.77,32,"2522",0
"1","100","60","60","2","21","3","2","9","60","48","79.75","47.6","68.6","",100,3.4302,33.5,0.77,32,"2523",0
"3","70","50","9","2","27","5","3","7","86","82","54.25","12.2","54","",100,3.4302,33.5,0.77,32,"2524",0
"3","36","30","100","2","23","6","2","5","84","55.5","22","15.8","77","",100,3.4302,33.5,0.77,32,"2527",0
"0","79","100","45","","18","","","5","89","99","85.25","47.6","89","15",100,3.4302,33.5,0.77,32,"2528",0
"31","29","100","21","1","46","8","3","6","100","100","62.5","40.2","81","21",100,3.4302,33.5,0.77,32,"2530",1
"0","100","80","90","2","39","4","3","8","100","100","100","21.6","99.6","51",100,3.4302,33.5,0.77,32,"2532",0
"5","88","98","39","2","35","5","3","4","64","61.5","99.25","7.2","99.6","",100,3.4302,33.5,0.77,32,"2533",0
"20","82","82","70","2","22","","3","8","71","79","84.25","54.8","89.2","",100,3.4302,33.5,0.77,32,"2534",0
"3","50","62","28","1","19","","2","7","68","46","38.25","28.6","51.2","",100,3.4302,33.5,0.77,32,"2535",0
"53","98","100","88","2","19","","3","8","76","91","100","5","99.8","100",100,3.4302,33.5,0.77,32,"2536",1
"0","78","79","9","2","18","3","","5","92","75","70.5","38.2","89.4","5",100,3.4302,33.5,0.77,32,"2537",1
"0","100","100","10","1","19","","2","8","80","","83.25","27.4","90.6","",100,3.4302,33.5,0.77,32,"2538",0
"10","70","90","30","2","33","5","3","6","90","80","100","58.4","70","53.5",100,3.4302,33.5,0.77,32,"2539",1
"","100","83","41","2","22","8","3","6","64","50","90.5","17.4","70.8","",100,3.4302,33.5,0.77,32,"2541",0
"10","100","29","40","1","19","","3","4","63","","20.75","52.4","58","52",100,3.4302,33.5,0.77,32,"2542",0
"","60","49","49","","40","4","3","6","86","47","67.25","37.2","46","",100,3.4302,33.5,0.77,32,"2543",1
"29","35","39","38","1","20","","2","9","71","66","41.25","27.2","36.8","51.5",100,3.4302,33.5,0.77,32,"2544",0
"0","100","100","71","1","55","","3","7","54","0","100","0","80","",100,3.4302,33.5,0.77,32,"2545",0
"73","39","99","100","2","19","5","3","8","99","64","90.75","79.8","63.2","100",100,3.4302,33.5,0.77,32,"2548",0
"20","100","100","70","2","19","","2","9","80","55","86.25","31.4","100","",100,3.4302,33.5,0.77,32,"2549",0
"0","76","69","39","2","19","8","2","6","100","60","100","32.8","71.2","10",100,3.4302,33.5,0.77,32,"2550",0
"7","89","100","40","1","19","8","3","10","72","44.5","48","29.2","45.8","4.5",100,3.4302,33.5,0.77,32,"2551",0
"31","71","71","89","2","19","5","2","5","90","80","91.5","20.8","100","",100,3.4302,33.5,0.77,32,"2553",0
"12","80","81","20","2","20","","2","8","78","96.5","98.25","21.2","94.4","88",100,3.4302,33.5,0.77,32,"2554",1
"11","100","100","33","2","22","2","2","7","85","100","93","1.6","70.2","36.5",100,3.4302,33.5,0.77,32,"2556",1
"4","100","100","39","","20","","","8","50","50.5","44.75","40.2","58.6","39",100,3.4302,33.5,0.77,32,"2557",0
"","100","100","100","2","45","4","2","2","100","71.5","98.75","55.4","92","100",100,3.4302,33.5,0.77,32,"2559",1
"0","69","47","47","2","19","5","2","5","100","61","100","22.2","87.4","",100,3.4302,33.5,0.77,32,"2560",0
"12","69","67","34","1","50","8","3","7","71","66","65.5","38.5","83","",100,3.4302,33.5,0.77,32,"2561",1
"1","95","80","20","2","57","5","4","5","71","","87.75","8.6","92.6","50",100,3.4302,33.5,0.77,32,"2562",0
"10","100","100","60","1","57","5","2","8","100","100","100","0","80","100",100,3.4302,33.5,0.77,32,"2563",1
"20","40","40","20","2","19","8","2","6","80","70","27.75","25","54.8","",100,3.4302,33.5,0.77,32,"2564",0
"42","79","75","58","","19","5","3","7","87","82","84","26.6","94","11",100,3.4302,33.5,0.77,32,"2565",1
"38","68","84","79","2","19","7","2","8","81","68","85.5","62","96.4","",100,3.4302,33.5,0.77,32,"2567",0
"72","78","78","85","1","18","","","4","70","78","67.5","79.4","72.2","78",100,3.4302,33.5,0.77,32,"2569",1
"","100","100","93","2","40","","2","5","89","94","98.5","72.8","99.6","",100,3.4302,33.5,0.77,32,"2570",0
"","78","79","53","2","19","","2","10","70","63.5","78.25","63.4","69","62",100,3.4302,33.5,0.77,32,"2571",1
"30","70","60","25","1","19","4","2","5","100","62.5","71.25","18.2","82.8","1",100,3.4302,33.5,0.77,32,"2573",0
"","81","91","60","2","20","","2","9","60","41","74.75","5","61.2","",100,3.4302,33.5,0.77,32,"2574",0
"27","69","71","39","","18","","2","4","74","86","76.75","19.6","72.2","8",100,3.4302,33.5,0.77,32,"2575",0
"","66","55","58","1","19","","2","7","50","","51.75","59.4","46.4","49",100,3.4302,33.5,0.77,32,"2576",0
"7","71","74","31","2","46","8","3","5","100","49.5","91.5","22.8","99.2","",100,3.4302,33.5,0.77,32,"2577",0
"24","100","100","50","2","18","5","2","7","81","93","96.75","58.5","100","85",100,3.4302,33.5,0.77,32,"2578",0
"50","80","91","80","1","45","6","3","8","90","94","87.5","37.8","71.8","35",138.83,7.615,27.7,0.961,33,"2579",1
"27","69","73","78","1","33","6","3","7","73","56.5","77.75","61.6","66.4","59",138.83,7.615,27.7,0.961,33,"2580",1
"6","61","51","91","1","65","4","4","5","100","88.5","88.5","10.4","75","56.5",138.83,7.615,27.7,0.961,33,"2581",0
"32","73","81","78","1","63","6","3","5","99","72","50.25","25.6","64","87.5",138.83,7.615,27.7,0.961,33,"2583",0
"5","68","6","5","2","55","5","3","5","20","9","13.25","3","25.6","53.5",138.83,7.615,27.7,0.961,33,"2585",0
"","83","88","53","2","57","","2","6","62","","90","49.2","49.4","",138.83,7.615,27.7,0.961,33,"2586",0
"60","90","81","70","2","56","4","3","4","70","85","88.25","11.2","71.4","50",138.83,7.615,27.7,0.961,33,"2587",1
"10","91","68","32","1","63","6","3","8","91","50.5","68.5","23.4","61.2","83.5",138.83,7.615,27.7,0.961,33,"2591",0
"61","58","46","60","","33","4","3","5","51","69.5","59.25","47.2","61.6","57.5",138.83,7.615,27.7,0.961,33,"2592",1
"40","100","70","50","1","63","5","2","6","71","15","85","13.6","42","41.5",138.83,7.615,27.7,0.961,33,"2593",0
"1","30","15","48","1","59","7","4","9","75","39","20.5","26.4","28.2","98",138.83,7.615,27.7,0.961,33,"2596",1
"58","54","19","41","2","53","","4","7","19","23.5","9.75","34","20.2","97.5",138.83,7.615,27.7,0.961,33,"2597",0
"66","70","71","52","2","53","6","3","7","53","","59.25","12.4","54","55.5",138.83,7.615,27.7,0.961,33,"2598",0
"63","73","55","53","2","56","7","4","7","80","77","58.75","68","36.6","48",138.83,7.615,27.7,0.961,33,"2599",0
"62","79","92","53","2","49","","","","","74","60.25","23.4","29.4","",138.83,7.615,27.7,0.961,33,"2600",0
"47","85","54","60","2","41","8","3","6","80","80.5","59.75","35","59.2","71.5",138.83,7.615,27.7,0.961,33,"2601",0
"30","100","84","74","2","45","7","3","6","100","80.5","72.75","18.4","42.8","53",138.83,7.615,27.7,0.961,33,"2602",1
"56","88","100","82","2","49","5","3","7","47","68","79.75","0","75.8","",138.83,7.615,27.7,0.961,33,"2603",1
"14","68","92","33","1","67","5","3","8","71","43","53","6.6","35.4","97",138.83,7.615,27.7,0.961,33,"2604",0
"40","91","66","68","1","76","5","3","8","85","65","95.25","33.2","80","89",138.83,7.615,27.7,0.961,33,"2605",1
"39","66","55","54","1","78","5","2","4","70","39.5","52","12.8","32.2","41.5",138.83,7.615,27.7,0.961,33,"2606",0
"21","64","80","86","","39","","2","6","52","61.5","69.25","29.8","65.2","",138.83,7.615,27.7,0.961,33,"2607",1
"0","21","30","71","1","42","6","3","6","100","1.5","16.75","0","24.2","100",138.83,7.615,27.7,0.961,33,"2608",0
"32","49","42","49","1","74","","2","6","51","42","46","42","46","45",138.83,7.615,27.7,0.961,33,"2609",0
"67","97","60","50","2","44","6","3","6","88","88","57.75","27.2","64.6","19",138.83,7.615,27.7,0.961,33,"2610",0
"37","44","43","24","1","65","4","3","5","81","","41.75","20.6","29.6","1",138.83,7.615,27.7,0.961,33,"2611",0
"19","51","49","69","2","27","6","3","7","61","55","56","59.6","61.6","46",138.83,7.615,27.7,0.961,33,"2612",0
"100","86","70","54","2","68","","2","7","97","97","83.5","38","69.6","33.5",138.83,7.615,27.7,0.961,33,"2613",0
"12","48","19","38","2","41","4","2","5","29","34","35.75","43.8","40.6","40.5",138.83,7.615,27.7,0.961,33,"2614",1
"83","60","46","60","1","30","5","3","6","80","73","52","34","43.4","41.5",138.83,7.615,27.7,0.961,33,"2615",0
"22","98","36","52","1","49","","4","8","74","62","85","2.2","66.8","93",138.83,7.615,27.7,0.961,33,"2617",0
"73","49","78","46","1","42","4","2","4","54","72.5","45.25","44","50.8","49.5",138.83,7.615,27.7,0.961,33,"2618",1
"76","75","80","88","2","35","6","4","8","84","71.5","80.5","83.6","72.8","52.5",138.83,7.615,27.7,0.961,33,"2619",1
"11","30","0","7","1","68","4","2","5","59","9","15","2.6","23.8","63",138.83,7.615,27.7,0.961,33,"2620",0
"36","83","61","44","1","33","4","2","3","79","55.5","85","34.8","23","44.5",138.83,7.615,27.7,0.961,33,"2621",0
"51","62","42","38","1","69","5","3","9","67","51","36.25","33.6","41.4","56.5",138.83,7.615,27.7,0.961,33,"2622",0
"5","91","61","13","1","61","7","3","6","83","9","52.5","60","47.6","60.5",138.83,7.615,27.7,0.961,33,"2625",0
"74","95","91","100","2","50","5","2","7","91","94.5","99","53.6","62.8","71.5",138.83,7.615,27.7,0.961,33,"2626",0
"87","83","56","81","1","49","6","3","6","78","81","55.25","21.6","49.6","53.5",138.83,7.615,27.7,0.961,33,"2628",0
"61","52","74","63","2","28","","4","10","67","78.5","66.5","71","64.4","67.5",138.83,7.615,27.7,0.961,33,"2629",1
"21","91","65","50","1","65","5","2","5","81","73","90","32.4","71","41",138.83,7.615,27.7,0.961,33,"2631",0
"50","99","99","70","1","52","","3","8","99","91.5","69","2.4","61.8","60",138.83,7.615,27.7,0.961,33,"2632",0
"76","79","79","61","2","24","6","3","5","67","70","50.25","29.6","38.8","81",138.83,7.615,27.7,0.961,33,"2633",0
"58","88","66","70","2","29","5","3","4","64","64","72","47","50.2","84.5",138.83,7.615,27.7,0.961,33,"2634",1
"46","100","75","61","2","60","6","3","8","65","70","78.25","5.4","55.6","83",138.83,7.615,27.7,0.961,33,"2635",0
"80","84","55","69","1","51","6","3","7","70","71","74.25","43.2","57.4","",138.83,7.615,27.7,0.961,33,"2637",1
"76","60","55","69","1","51","6","3","9","100","83","60.75","36.4","47","49.5",138.83,7.615,27.7,0.961,33,"2638",0
"69","75","74","71","1","46","6","4","8","79","70.5","72.5","66.8","62.4","40",138.83,7.615,27.7,0.961,33,"2639",0
"45","61","23","53","2","47","7","2","7","75","58.5","67","46.8","63.6","51.5",138.83,7.615,27.7,0.961,33,"2642",0
"62","96","77","79","1","52","4","3","1","83","84.5","85.25","21.2","75.4","9",138.83,7.615,27.7,0.961,33,"2643",1
"9","86","51","38","1","55","","3","7","51","39","29.5","37.4","42.8","66",138.83,7.615,27.7,0.961,33,"2646",0
"1","71","80","71","1","47","4","4","4","21","35","20.5","1","18.4","21",138.83,7.615,27.7,0.961,33,"2647",0
"17","58","64","60","2","43","6","3","7","71","71.5","30.5","16.4","23.8","85",138.83,7.615,27.7,0.961,33,"2649",0
"15","72","64","78","1","47","","2","7","71","47","40.25","26.6","57.6","48.5",138.83,7.615,27.7,0.961,33,"2650",0
"21","40","32","50","2","54","","2","4","12","5.5","12.25","32.6","33.4","19",138.83,7.615,27.7,0.961,33,"2652",0
"33","75","74","64","1","73","","2","9","74","56","71.75","63","61.6","74",138.83,7.615,27.7,0.961,33,"2653",0
"50","80","40","70","1","53","5","2","4","95","30","82.5","3.6","76.8","38",138.83,7.615,27.7,0.961,33,"2654",0
"89","61","40","71","2","32","5","3","5","72","71.5","40.5","23.6","45","35",138.83,7.615,27.7,0.961,33,"2655",0
"80","100","100","82","1","68","5","3","6","100","99","100","20.8","59.8","48",138.83,7.615,27.7,0.961,33,"2656",1
"45","77","63","72","2","74","","3","6","82","64","57.25","43","56","73.5",138.83,7.615,27.7,0.961,33,"2658",0
"71","63","55","74","1","21","4","3","8","80","61","63","69.2","56.6","58.5",138.83,7.615,27.7,0.961,33,"2659",1
"56","60","33","72","1","48","4","3","3","91","85.5","10.5","2.6","18.8","24.5",138.83,7.615,27.7,0.961,33,"2661",0
"50","67","50","66","2","50","3","2","6","79","64","95.25","15.6","58.8","52",138.83,7.615,27.7,0.961,33,"2662",0
"30","50","50","70","1","27","","3","4","80","40","70","20.6","92","",58,1.3559,40.2,0.762,34,"2663",0
"35","95","95","70","2","20","7","3","4","80","82.5","99.5","20.4","98","50",58,1.3559,40.2,0.762,34,"2665",0
"20","75","60","60","1","19","8","3","5","80","75","47.5","8","32.2","46",58,1.3559,40.2,0.762,34,"2666",0
"40","82","73","81","2","18","7","2","7","100","90.5","76.5","49","96.2","52.5",58,1.3559,40.2,0.762,34,"2668",1
"20","40","35","40","1","23","7","3","5","100","80","65","48","64","61",58,1.3559,40.2,0.762,34,"2669",0
"14","70","45","50","2","20","1","","6","99","68.5","68","21.8","62.4","",58,1.3559,40.2,0.762,34,"2670",1
"51","91","81","69","2","22","1","3","7","98","83.5","77.75","78.4","83.4","42",58,1.3559,40.2,0.762,34,"2671",1
"0","100","60","50","1","25","","3","5","100","","91.75","20.4","80","52",58,1.3559,40.2,0.762,34,"2672",1
"60","67","65","70","1","21","7","2","5","62","88","74","14","85.6","53",58,1.3559,40.2,0.762,34,"2673",1
"0","42","48","50","2","18","4","3","7","68","68.5","78.75","0","58.6","31",58,1.3559,40.2,0.762,34,"2674",1
"80","83","70","68","1","21","2","","5","49","87.5","67.25","53","51","54",58,1.3559,40.2,0.762,34,"2675",1
"22","40","41","50","2","21","1","3","5","50","70","46.75","21.8","38","",58,1.3559,40.2,0.762,34,"2676",1
"10","71","77","52","2","27","1","3","5","100","43","93","9.2","98.6","42.5",58,1.3559,40.2,0.762,34,"2677",1
"10","70","31","100","2","22","4","2","4","64","90.5","75","1","58.6","53.5",58,1.3559,40.2,0.762,34,"2678",1
"21","76","100","30","1","24","2","3","7","84","92.5","100","27","99.2","52.5",58,1.3559,40.2,0.762,34,"2679",0
"0","100","50","79","2","20","1","3","7","75","90","69.5","3.2","53.4","51",58,1.3559,40.2,0.762,34,"2682",1
"57","83","100","61","2","18","1","2","10","66","79.5","79.25","55","60","55.5",58,1.3559,40.2,0.762,34,"2684",1
"6","42","38","37","2","18","6","2","6","76","39","48","22.6","76.4","25.5",58,1.3559,40.2,0.762,34,"2685",1
"0","100","52","74","1","24","2","3","6","12","51","58.5","23.2","65.6","78.5",58,1.3559,40.2,0.762,34,"2687",0
"48","85","65","68","1","30","2","3","5","55","78.5","55","53.4","49.4","63",58,1.3559,40.2,0.762,34,"2688",1
"40","68","67","50","2","45","2","2","6","99","77","73.75","41","88.6","68.5",58,1.3559,40.2,0.762,34,"2689",1
"11","92","100","31","1","34","5","3","7","71","51","77","72.6","66.6","69",58,1.3559,40.2,0.762,34,"2690",1
"52","80","82","50","2","18","8","3","3","100","75.5","55","20.4","67","55",58,1.3559,40.2,0.762,34,"2691",1
"49","83","85","89","2","38","2","3","5","94","73.5","73.5","26.2","70.2","83.5",58,1.3559,40.2,0.762,34,"2692",1
"10","85","87","80","2","42","8","4","7","62","84","81.5","11.8","82","82.5",58,1.3559,40.2,0.762,34,"2693",1
"30","70","66","100","2","18","2","3","5","86","64.5","74","0.2","74.8","51",58,1.3559,40.2,0.762,34,"2694",1
"17","75","65","66","2","18","","3","6","60","47","67.5","17.8","74.6","30",58,1.3559,40.2,0.762,34,"2696",1
"50","78","74","100","2","21","","3","3","64","72","68.75","26.2","56.2","69",58,1.3559,40.2,0.762,34,"2697",1
"30","95","80","61","2","18","8","3","6","61","75","91.25","14.4","95.6","50",58,1.3559,40.2,0.762,34,"2698",1
"21","81","72","96","1","19","2","3","5","94","86","91.5","63","91.2","30.5",58,1.3559,40.2,0.762,34,"2699",0
"0","80","90","10","2","18","","3","7","65","75","97.5","20","100","",58,1.3559,40.2,0.762,34,"2700",1
"10","100","86","39","2","32","5","3","6","70","100","91.25","54","98.2","9.5",17.67,1.2413,40.7,0.699,35,"2703",1
"75","99","95","39","2","25","8","3","7","99","93","93.5","37","77","16",17.67,1.2413,40.7,0.699,35,"2704",0
"30","100","100","51","2","31","2","4","6","100","100","100","4.6","79","",17.67,1.2413,40.7,0.699,35,"2706",1
"50","75","60","60","2","30","2","3","5","80","90","47.5","53","53","15",17.67,1.2413,40.7,0.699,35,"2707",0
"20","81","82","31","1","32","5","4","7","90","100","85","40","100","16.5",17.67,1.2413,40.7,0.699,35,"2708",0
"20","70","70","50","2","19","5","3","5","70","70","82.75","12","94","12",17.67,1.2413,40.7,0.699,35,"2709",1
"5","95","95","40","1","25","7","3","7","68","82.5","92.75","14","96.8","25.5",17.67,1.2413,40.7,0.699,35,"2710",1
"40","53","85","61","2","21","3","3","5","67","74","52.5","22","59.6","47",17.67,1.2413,40.7,0.699,35,"2711",0
"10","80","65","34","1","25","5","4","7","95","85","77.5","26.4","67.6","19.5",17.67,1.2413,40.7,0.699,35,"2712",0
"29","80","80","60","2","36","6","3","7","70","65","90","42","74","50",17.67,1.2413,40.7,0.699,35,"2713",1
"59","79","74","71","2","28","7","4","6","81","77.5","69","68.4","68.6","23.5",17.67,1.2413,40.7,0.699,35,"2715",0
"2","85","70","30","","25","8","4","7","80","75","85","27","73","40.5",17.67,1.2413,40.7,0.699,35,"2716",0
"0","100","100","90","2","31","6","3","8","91","100","93.5","0","73","0",17.67,1.2413,40.7,0.699,35,"2717",0
"","62","100","52","1","33","2","2","6","66","","20.5","67.8","99.8","81.5",77.17,7.916,28.8,0.876,36,"2718",0
"41","69","52","71","2","46","1","3","1","61","71.5","73","83.2","68.8","62",77.17,7.916,28.8,0.876,36,"2719",0
"1","96","81","80","2","69","3","2","4","100","91","89.5","0.6","87.8","67.5",77.17,7.916,28.8,0.876,36,"2720",1
"80","87","71","64","1","41","2","3","4","60","70","83","69.2","64.8","75",77.17,7.916,28.8,0.876,36,"2721",1
"48","80","88","89","1","35","2","2","5","68","78","97.25","84.2","76.2","",77.17,7.916,28.8,0.876,36,"2722",0
"0","70","2","50","2","18","1","3","5","0","20","25","20.8","20.2","",77.17,7.916,28.8,0.876,36,"2723",0
"11","61","60","39","1","37","4","2","5","49","50.5","17","8.8","26.8","67",77.17,7.916,28.8,0.876,36,"2724",0
"6","74","80","89","1","43","3","2","5","91","88","67.5","66.4","56.6","84",77.17,7.916,28.8,0.876,36,"2725",0
"15","77","99","61","2","33","2","2","3","99","57","61","1.2","58","73",77.17,7.916,28.8,0.876,36,"2726",0
"0","64","63","0","2","47","","2","1","37","0","15.25","18","38.2","",77.17,7.916,28.8,0.876,36,"2727",0
"60","91","99","50","2","50","","2","4","70","60","79.5","0.8","98.6","80",77.17,7.916,28.8,0.876,36,"2728",0
"13","66","53","46","1","63","3","3","5","76","81.5","65.25","51.6","50.6","55",77.17,7.916,28.8,0.876,36,"2729",0
"1","69","77","61","1","60","2","3","3","69","76","74.5","40.6","75.4","12.5",77.17,7.916,28.8,0.876,36,"2730",0
"76","82","78","96","1","37","1","3","10","82","80.5","88.25","79.8","68.2","81.5",77.17,7.916,28.8,0.876,36,"2732",1
"16","82","54","66","2","37","3","3","7","59","50","50.75","24.4","61.8","47",77.17,7.916,28.8,0.876,36,"2733",0
"31","51","52","52","2","40","1","2","4","75","31","33.25","39.4","52.4","74",77.17,7.916,28.8,0.876,36,"2736",0
"95","96","90","68","1","60","4","2","8","69","61","94.5","22.8","98","93",77.17,7.916,28.8,0.876,36,"2737",0
"17","61","74","81","2","45","2","2","4","100","81.5","89.5","24.4","80.2","50.5",77.17,7.916,28.8,0.876,36,"2738",0
"0","30","25","50","1","40","3","3","4","50","37.5","41.25","14","57","66",77.17,7.916,28.8,0.876,36,"2740",0
"19","52","50","51","2","48","1","3","3","50","50.5","50.5","49","49.4","50",77.17,7.916,28.8,0.876,36,"2743",0
"18","69","72","14","1","45","3","3","6","90","36.5","66.75","18.2","75.2","58.5",77.17,7.916,28.8,0.876,36,"2744",0
"73","80","82","71","1","45","2","2","5","48","84","80.5","24.2","60.8","56.5",77.17,7.916,28.8,0.876,36,"2745",0
"2","71","86","71","1","74","1","3","6","76","70.5","84.75","58","82.4","25.5",77.17,7.916,28.8,0.876,36,"2746",1
"10","30","31","58","1","31","2","3","4","83","72.5","57","51.6","52","51.5",77.17,7.916,28.8,0.876,36,"2747",0
"10","82","51","51","1","58","3","2","6","60","66","41.5","51.6","50","33",77.17,7.916,28.8,0.876,36,"2748",0
"49","73","62","62","2","31","5","2","5","52","81.5","70.5","66","54.2","51",77.17,7.916,28.8,0.876,36,"2749",0
"3","80","89","50","2","70","1","3","5","60","70","88","37.2","88.4","17.5",77.17,7.916,28.8,0.876,36,"2750",1
"14","47","49","80","1","23","","3","7","60","42.5","42.75","39.4","36.8","",77.17,7.916,28.8,0.876,36,"2751",0
"57","63","65","82","1","41","3","2","6","64","86","72","54.8","54.2","65.5",77.17,7.916,28.8,0.876,36,"2753",1
"73","55","64","75","2","48","2","2","7","75","75.5","73.25","74.4","66.2","66",77.17,7.916,28.8,0.876,36,"2754",0
"74","74","74","67","1","42","2","2","5","56","70.5","77","72.2","67","50.5",77.17,7.916,28.8,0.876,36,"2755",1
"50","82","77","82","1","40","3","2","6","90","67","68.75","79.6","64.6","58.5",77.17,7.916,28.8,0.876,36,"2756",1
"67","78","90","66","2","30","2","2","4","53","65.5","78","74.4","62.8","51",77.17,7.916,28.8,0.876,36,"2757",1
"1","49","65","67","2","26","7","2","7","70","63","97.75","15.8","96","2.5",77.17,7.916,28.8,0.876,36,"2758",1
"26","61","66","69","1","28","2","3","4","72","72","67","53.6","59.4","66.5",77.17,7.916,28.8,0.876,36,"2759",0
